,Name,School,L10_High_UB,L10_Ave_UB,Freshman,NCAA_High_UB,NCAA_Ave_UB,UB_nqs,UB_delta
2914,Sara Schupp,Cornell,8.25,5.542857142857144,2013,0.0,0.0,0.0,-8.25
2915,Kaylee Remillard,Rhode Island College,8.2,5.377083333333333,2013,0.0,0.0,0.0,-8.2
2916,Jenna Williams,Springfield College,9.6,5.378571428571428,2009,9.9,9.524,9.86,0.3
2917,Nicolette Wilson,Rutgers,8.525,8.183333333333334,2013,0.0,0.0,0.0,-8.525
2918,Reagan Oliveri,Temple,8.7,8.191666666666666,2013,9.85,9.555,9.765,1.15
2919,Amy Vicidomini,Springfield College,7.05,7.025,2013,0.0,0.0,0.0,-7.05
2920,Alicia Bair,Cornell,0.0,0.0,2013,0.0,0.0,0.0,0.0
2921,Amanda Rota,Brockport,8.6,2.7333333333333334,2013,9.525,8.967,9.245,0.925
2922,Lily Jagodzinski,Brockport,7.575,7.081250000000001,2013,0.0,0.0,0.0,-7.575
2923,Lindsay Knapp,West Chester,8.825,5.7857142857142865,2013,9.575,9.224,9.415,0.75
2924,Chelsea Olson,UW-La Crosse,6.9,6.875,2013,0.0,0.0,0.0,-6.9
2925,Rachel Tucker,BYU,8.375,5.25,2014,0.0,0.0,0.0,-8.375
2926,Danielle Judal,UC Davis,9.6,7.846153846153847,2013,9.9,9.642,9.85,0.3
2927,Stephanie Stamates,UC Davis,9.3,6.812500000000001,2013,0.0,0.0,0.0,-9.3
2928,Taylor Baron,UC Davis,8.8,4.892857142857143,2015,0.0,0.0,0.0,-8.8
2929,Taylor James,William & Mary,8.725,6.25625,2013,0.0,0.0,0.0,-8.725
2930,Marley Bender,Cortland State,8.95,5.906818181818181,2014,0.0,0.0,0.0,-8.95
2931,Carissa Lim,Pennsylvania,8.75,4.739285714285714,2013,0.0,0.0,0.0,-8.75
2932,Jillian Chappel,Utah State,9.1,5.9833333333333325,2014,0.0,0.0,0.0,-9.1
2933,Mary Beth Box,Georgia,9.15,7.309615384615386,2013,0.0,0.0,0.0,-9.15
2934,Ali Ables,Air Force,9.375,5.745833333333333,2013,0.0,0.0,0.0,-9.375
2935,Barbara Bass,UW-Oshkosh,8.5,8.033333333333333,2013,8.9,8.297,8.495,0.4
2936,Ariel Martin,Nebraska,9.425,6.020833333333334,2014,9.825,9.735,0.0,0.4
2937,Keara Glover,Arkansas,9.65,6.703571428571428,2013,9.85,9.731,9.825,0.2
2938,Jaelyn Olsen,Northern Illinois,9.3,6.616666666666667,2013,0.0,0.0,0.0,-9.3
2939,Diana Walters,Brown,9.3,7.3,2013,9.875,9.635,9.84,0.575
2940,Nicole Wetzel,Alaska,7.45,7.375,2013,0.0,0.0,0.0,-7.45
2941,Kellie Slater,Centenary College,0.0,0.0,2013,0.0,0.0,0.0,0.0
2942,Hannah Popper,Temple,8.6,7.4125,2013,9.6,9.033,9.265,1.0
2943,Mikaela Jones,BYU,9.075,6.62,2013,0.0,0.0,0.0,-9.075
2944,Randi Cutolo,Bridgeport,7.8,6.96875,2014,9.775,9.775,0.0,1.975
2945,Alexa Okamura,Seattle Pacific,9.125,6.3100000000000005,2013,0.0,0.0,0.0,-9.125
2946,Randi Schorzman,UW-Stout,9.45,5.503846153846155,2013,0.0,0.0,0.0,-9.45
2947,Hollie Blanske,Nebraska,9.675,6.952272727272726,2013,9.9,9.741,9.89,0.225
2948,Courtney Howard,UW-Oshkosh,8.575,5.408333333333333,2013,9.375,8.756,9.18,0.8
2949,Taylor Baron,UC Davis,8.8,4.892857142857143,2015,0.0,0.0,0.0,-8.8
2950,Charlotte Sullivan,Iowa,9.2,9.2,2017,9.925,9.679,9.88,0.725
2951,Courtney McGregor,Boise State,8.1,8.1,2017,9.975,9.865,9.915,1.875
2952,Katie Honarmand,Ball State,8.25,7.95,2013,9.825,9.432,9.735,1.575
2953,Paige Bottano,Sacramento State,9.15,8.725000000000001,2013,9.775,9.6,9.725,0.625
2954,Katy Nogaki,UC Davis,9.275,5.858333333333333,2014,0.0,0.0,0.0,-9.275
2955,Megan Kyle,Sacramento State,9.325,5.9,2015,9.775,9.696,9.75,0.45
2956,Amy Bellingham,San Jose State,8.925,6.2875,2013,0.0,0.0,0.0,-8.925
2957,Sophina DeJesus,UCLA,9.675,9.675,2013,9.975,9.814,9.93,0.3
2958,Gina Costa,West Virginia,9.5,7.361363636363636,2013,9.8,9.462,0.0,0.3
2959,Julia Ross,Denver,9.5,5.969444444444444,2014,9.9,9.78,9.887,0.4
2960,Briana Bridgeford,Hamline,6.75,6.75,2013,9.525,9.054,9.415,2.775
2961,Sara Perez,UW-Stout,9.25,6.876785714285713,2013,9.55,9.04,9.485,0.3
2962,Meghan McCaskey,Hamline,0.0,0.0,2013,8.175,7.569,0.0,8.175
2963,Andrea Gross,Hamline,5.4,5.4,2013,9.175,8.526,8.985,3.775
2964,Ana Ginter,UW-La Crosse,7.775,7.449999999999999,2015,0.0,0.0,0.0,-7.775
2965,Miranda Eubank,Missouri,9.55,6.542857142857144,2013,9.9,9.623,9.85,0.35
2966,Tiara Phipps,Kentucky,9.575,4.3950000000000005,2013,9.825,9.412,0.0,0.25
2967,Aziza Day,Rutgers,8.05,2.6833333333333336,2014,9.75,9.558,0.0,1.7
2968,Angela Stein,UW-La Crosse,8.7,3.563888888888889,2013,0.0,0.0,0.0,-8.7
2969,Emily Ryan,UW-Oshkosh,9.2,6.135000000000001,2013,9.4,8.843,9.33,0.2
2970,Gabriella Douglas,Michigan State,9.275,9.275,2017,9.75,9.283,0.0,0.475
2971,Nicola Deans,Michigan State,8.175,7.65,2013,9.9,9.513,9.85,1.725
2972,Hailee Westney,Michigan State,9.15,9.15,2015,9.925,9.747,9.89,0.775
2973,Erika Aufiero,Oregon State,9.675,7.009375,2013,9.975,9.769,9.93,0.3
2974,Mackenzie Itcush,North Carolina State,8.25,7.825,2015,0.0,0.0,0.0,-8.25
2975,Paige Blaney,Seattle Pacific,7.35,7.35,2014,0.0,0.0,0.0,-7.35
2976,Ginny Ebker,UW-Whitewater,8.65,5.302083333333334,2015,0.0,0.0,0.0,-8.65
2977,Katie Sassa,Towson,8.875,8.625,2013,0.0,0.0,0.0,-8.875
2978,Haley Jones,Maryland,9.05,8.25,2014,0.0,0.0,0.0,-9.05
2979,Brianna Comport,Bridgeport,6.5,2.1666666666666665,2015,9.825,9.812,0.0,3.325
2980,Jacqueline Lucci,Pittsburgh,9.525,6.565625,2014,9.8,9.464,9.75,0.275
2981,Peyton Ernst,Florida,9.65,9.65,2016,0.0,0.0,0.0,-9.65
2982,Bailie Key,Alabama,9.0,9.0,2018,0.0,0.0,0.0,-9.0
2983,Kelsey Aucoin,New Hampshire,0.0,0.0,2014,0.0,0.0,0.0,0.0
2984,Stephanie Choo,Brown,8.85,5.591666666666666,2013,9.75,9.235,9.645,0.9
2985,Elissa Solomon,New Hampshire,7.9,7.875,2013,0.0,0.0,0.0,-7.9
2986,Gracie Day,Auburn,9.75,9.450000000000001,2017,9.975,9.802,9.915,0.225
2987,Brittni Watkins,North Carolina State,9.6,5.929166666666667,2013,9.9,9.715,9.855,0.3
2988,Kristen Torres,West Chester,8.9,5.7924999999999995,2014,8.15,8.15,0.0,-0.75
2989,Becca Schugel,Missouri,9.4,9.175,2015,9.9,9.726,9.86,0.5
