,School,Conference,Year,Final Rank,NQS,Home Average,Away Average,Location Delta,Scores >= 9.9,VT Delta,UB Delta,BB Delta,FX Delta,AA Delta
470,Oregon State,PAC12,2017,11,197.115,196.99,196.27,0.72,17.6,3.545,0.117,2.842,3.778,29.475
471,Penn State,Big10,2017,31,195.615,195.425,194.696,0.729,7.2,2.856,3.087,3.018,2.628,10.824
472,Pennsylvania,GEC,2017,62,193.055,192.0,192.261,-0.261,0.8,3.738,2.473,4.034,3.01,1000.0
473,Pittsburgh,EAGL,2017,53,194.335,194.162,193.753,0.409,1.7,2.483,2.306,2.742,2.446,1000.0
474,Rutgers,Big10,2017,49,194.47,194.16,193.439,0.721,1.0,3.163,2.64,2.723,3.017,8.012
475,S.E. Missouri,MIC,2017,64,192.33,192.15,190.75,1.4,1.0,2.947,3.314,2.396,3.852,9.566
476,Sacramento State,MPSF,2017,46,194.745,194.092,194.228,-0.136,1.1,2.862,2.472,2.025,2.195,1000.0
477,San Jose State,MPSF,2017,48,194.61,195.05,193.65,1.4,1.5,2.271,2.394,2.126,2.273,3.614
478,Southern Conn.,GEC,2017,69,190.705,189.6,189.336,0.264,0.0,3.261,3.464,3.061,2.099,1000.0
479,Southern Utah,MRGC,2017,22,196.38,196.285,195.682,0.603,8.0,2.462,2.632,2.576,2.621,10.46
480,Springfield College,NaN,2017,73,188.58,189.025,186.036,2.989,0.0,0.636,4.006,1.445,2.418,1000.0
481,Stanford,PAC12,2017,28,195.975,196.194,194.534,1.66,7.7,3.305,-5.724,2.515,3.348,2.033
482,Temple,EAGL,2017,54,194.155,194.1,193.403,0.697,0.3,1.949,1.393,2.233,2.517,8.34
483,Texas Woman's,MIC,2017,52,194.975,194.43,193.244,1.186,1.4,2.94,3.075,2.611,2.537,10.037
484,Towson,EAGL,2017,45,194.755,194.655,193.932,0.723,2.7,0.082,0.961,1.019,0.386,2.352
485,UC Davis,MPSF,2017,42,195.105,194.771,194.667,0.104,2.7,2.21,1.958,2.561,3.825,9.495
486,UCLA,Pac12,2017,4,197.57,197.125,197.183,-0.058,29.2,2.72,2.482,3.057,2.535,11.335
487,Ursinus College,NaN,2017,71,190.46,189.175,189.725,-0.55,0.4,2.026,2.104,2.545,2.526,13.984
488,Utah,Pac12,2017,5,197.55,197.215,197.06,0.155,26.5,2.166,1.803,2.092,1.978,6.836
489,Utah State,MRGC,2017,32,195.915,195.65,194.794,0.856,2.4,2.167,2.34,2.659,2.237,1000.0
490,UW-Eau Claire,NaN,2017,78,186.09,184.908,185.525,-0.617,0.0,1000.0,2.099,1000.0,1000.0,1000.0
491,UW-La Crosse,NaN,2017,72,190.29,189.3,189.2,0.1,0.0,3.053,4.111,1.807,2.453,1000.0
492,UW-Oshkosh,NaN,2017,79,185.84,180.608,185.904,-5.296,0.0,3.434,2.979,2.193,1.828,10.039
493,UW-Stout,NaN,2017,76,187.5,186.45,186.592,-0.142,0.0,2.641,2.776,2.285,2.947,10.731
494,UW-Whitewater,NaN,2017,66,191.73,191.275,190.264,1.011,0.0,2.104,1000.0,2.257,1000.0,1000.0
495,Washington,PAC12,2017,8,196.757,196.74,196.155,0.585,13.2,2.532,2.555,2.61,2.381,9.679
496,West Chester,GEC,2017,61,193.395,193.59,191.947,1.643,1.3,3.047,2.569,2.771,2.723,10.823
497,West Virginia,Big12,2017,20,196.02,195.985,195.247,0.738,7.9,2.473,2.345,2.351,2.453,8.217
498,Western Michigan,MAC,2017,38,195.425,194.275,194.961,-0.686,2.4,0.955,2.59,3.953,1000.0,1000.0
499,William & Mary,GEC,2017,63,192.91,192.433,191.894,0.539,0.4,3.188,3.054,2.818,3.098,12.994
500,Winona State,NaN,2017,75,187.535,186.344,186.359,-0.015,0.0,2.574,3.983,2.167,2.686,1000.0
501,Yale,GEC,2017,59,193.455,192.55,192.586,-0.036,0.3,3.007,3.434,2.557,2.534,10.958
502,Seattle Pacific,NaN,2017,65,192.635,191.312,191.828,-0.516,1.0,3.801,2.524,3.307,2.752,10.445
503,UIC,NaN,2017,56,193.775,193.637,192.859,0.778,0.3,0.506,0.887,2.717,1.696,1000.0
504,Air Force,MPSF,2018,57,194.635,194.09,193.761,0.329,2.0,2.982,2.815,3.42,3.301,13.018
505,Alabama,SEC,2018,8,197.21,196.886,196.811,0.075,25.1,2.378,2.321,2.755,2.72,9.691
506,Alaska,MPSF,2018,69,190.805,189.975,189.725,0.25,0.0,3.293,2.91,2.954,3.147,9.109
507,Arizona,Pac12,2018,38,195.65,195.796,195.215,0.581,5.1,2.792,1.84,2.53,2.71,1000.0
508,Arizona State,Pac12,2018,23,196.57,196.194,195.956,0.238,6.9,2.276,1.771,1000.0,1.933,1000.0
509,Arkansas,SEC,2018,10,196.905,197.005,196.181,0.824,16.8,2.827,3.242,2.774,3.039,11.752
510,Auburn,SEC,2018,14,196.625,196.37,195.8,0.57,12.6,2.581,2.273,3.568,3.01,9.124
511,Ball State,MAC,2018,42,195.235,194.183,194.581,-0.398,2.1,2.594,1.434,2.093,2.732,1000.0
512,Boise State,MRGC,2018,16,196.745,196.419,196.425,-0.006,11.6,2.6,2.724,2.748,2.443,1000.0
513,Bowling Green,2763,2018,40,195.495,195.431,194.961,0.47,4.7,2.559,3.518,2.817,3.088,12.02
514,Bridgeport,GEC,2018,55,194.385,193.425,193.707,-0.282,1.8,2.464,2.495,2.425,2.476,9.534
515,Brockport,NaN,2018,68,190.82,187.625,189.9,-2.275,0.7,1.259,1.254,1.636,1.963,1000.0
516,Brown,GEC,2018,60,193.36,192.342,192.21,0.132,0.0,2.657,2.779,2.586,2.972,1000.0
517,BYU,MRGC,2018,17,196.43,196.263,195.856,0.407,7.4,2.853,2.324,2.635,3.182,1000.0
518,California,Pac12,2018,9,196.905,196.9,195.942,0.958,14.3,2.693,2.641,2.673,3.0,9.375
519,Centenary College,MIC,2018,71,190.225,188.615,187.654,0.961,0.0,2.725,2.322,2.849,2.728,10.8
520,Central Michigan,MAC,2018,29,195.88,196.167,194.903,1.264,10.7,2.331,3.65,2.554,2.413,1000.0
521,Cornell,GEC,2018,59,193.665,192.992,192.99,0.002,0.6,3.528,3.164,1.808,2.232,11.505
522,Cortland State,NaN,2018,73,188.575,188.131,185.891,2.24,0.0,2.075,2.142,2.356,2.4,11.832
523,Denver,Big12,2018,15,196.79,196.87,196.247,0.623,23.8,3.048,2.787,2.822,3.655,11.835
524,Eastern Michigan,MAC,2018,47,195.08,194.68,194.557,0.123,2.4,3.674,2.92,2.547,2.972,9.75
525,Florida,SEC,2018,3,197.787,197.755,197.029,0.726,40.5,3.045,2.514,2.513,2.607,9.923
526,George Washington,EAGL,2018,25,196.46,196.388,195.685,0.703,9.1,3.117,2.684,2.558,3.357,1000.0
527,Georgia,SEC,2018,7,196.653,196.783,196.064,0.719,17.4,2.309,2.925,2.888,2.321,1000.0
528,Gustavus Adolphus,NaN,2018,81,181.28,180.9,179.083,1.817,0.0,2.883,3.498,1000.0,2.678,1000.0
529,Illinois,Big10,2018,19,196.4,195.675,195.812,-0.137,7.6,3.205,2.692,2.509,3.052,9.398
530,Illinois State,MIC,2018,64,192.56,191.75,191.411,0.339,0.3,1.761,2.524,2.188,3.309,9.9
531,Iowa,Big10,2018,33,195.775,195.475,195.115,0.36,4.8,1000.0,4.481,2.591,2.841,1000.0
532,Iowa State,Big12,2018,24,196.085,195.842,195.7,0.142,6.7,2.487,2.209,2.251,2.393,8.014
533,Ithaca College,NaN,2018,70,190.41,189.056,189.318,-0.262,0.0,2.659,3.142,3.754,2.732,1000.0
534,Kent State,MAC,2018,34,195.855,195.57,194.943,0.627,10.1,2.593,3.468,2.79,3.127,1000.0
535,Kentucky,SEC,2018,12,196.87,196.305,196.579,-0.274,12.8,1000.0,2.848,2.34,2.937,1000.0
536,Lindenwood,MIC,2018,43,195.405,194.967,194.193,0.774,2.9,2.954,2.622,3.018,2.864,17.39
537,LSU,SEC,2018,4,197.963,197.704,197.539,0.165,38.3,2.94,1000.0,2.481,3.016,1000.0
538,Maryland,Big10,2018,26,195.96,195.77,195.275,0.495,5.0,2.123,2.561,2.459,2.646,8.434
539,Michigan,Big10,2018,13,197.16,196.965,196.6,0.365,21.3,1000.0,2.391,2.149,2.48,1000.0
540,Michigan State,Big10,2018,49,194.845,194.117,193.592,0.525,1.4,2.241,2.548,2.813,2.666,9.061
541,Minnesota,BIG10,2018,22,196.255,195.83,195.736,0.094,15.5,2.852,2.351,3.002,2.022,11.096
542,Missouri,SEC,2018,20,196.4,196.606,195.697,0.909,8.3,3.982,1000.0,2.715,2.71,1000.0
543,Nebraska,Big10,2018,6,196.973,196.725,196.399,0.326,16.9,2.724,2.974,2.7,3.229,11.95
544,New Hampshire,EAGL,2018,31,195.94,195.275,195.278,-0.003,5.4,2.256,2.366,1.825,2.553,1000.0
545,North Carolina,EAGL,2018,39,195.515,195.225,195.154,0.071,10.1,1000.0,1.829,3.087,4.251,1000.0
546,North Carolina State,EAGL,2018,20,196.44,196.146,195.625,0.521,6.0,3.678,3.381,3.095,4.028,11.436
547,Northern Illinois,MAC,2018,41,195.485,194.663,194.956,-0.293,4.4,3.271,3.101,2.434,3.306,1000.0
548,Ohio State,Big10,2018,18,196.275,196.345,195.331,1.014,8.6,2.244,2.573,2.513,2.492,9.119
549,Oklahoma,Big12,2018,2,198.12,198.035,197.811,0.224,49.4,3.367,3.191,3.117,3.684,15.646
550,Oregon State,PAC12,2018,27,196.78,196.955,196.082,0.873,12.2,2.649,2.606,2.738,2.13,8.079
551,Penn State,Big10,2018,32,195.985,195.196,195.693,-0.497,10.2,2.451,2.595,2.546,2.995,9.266
552,Pennsylvania,GEC,2018,61,193.42,193.042,192.525,0.517,1.0,3.688,2.632,2.264,2.39,9.62
553,Pittsburgh,EAGL,2018,30,195.87,194.988,195.028,-0.04,1.4,2.883,3.131,2.429,3.175,10.443
554,Rhode Island College,NaN,2018,82,178.545,178.192,177.414,0.778,0.0,0.262,1.702,0.511,0.59,2.109
555,Rutgers,Big10,2018,56,194.32,193.713,193.879,-0.166,1.0,2.777,3.469,3.723,2.699,10.556
556,S.E. Missouri,MIC,2018,63,192.985,192.025,191.944,0.081,1.2,2.412,2.606,2.308,2.181,8.185
557,Sacramento State,MPSF,2018,51,194.74,194.337,193.297,1.04,0.3,2.626,1.535,3.358,2.271,11.491
558,San Jose State,MPSF,2018,50,194.78,194.356,194.518,-0.162,2.6,2.098,2.215,0.362,1000.0,1000.0
559,Southern Conn.,GEC,2018,66,191.755,190.712,190.43,0.282,0.0,3.281,2.495,3.163,3.147,12.372
560,Southern Utah,MRGC,2018,35,195.915,195.496,195.143,0.353,4.6,2.197,2.77,2.194,2.594,1000.0
561,Springfield College,NaN,2018,74,187.325,188.5,186.825,1.675,0.5,1000.0,3.71,1000.0,1000.0,1000.0
562,Stanford,PAC12,2018,28,196.08,195.912,195.663,0.249,16.0,2.153,2.085,2.232,2.232,8.633
563,Temple,EAGL,2018,48,195.015,194.925,193.864,1.061,0.6,2.77,2.828,2.493,2.563,10.456
564,Texas Woman's,MIC,2018,52,195.01,194.954,193.229,1.725,4.3,2.652,2.952,1000.0,2.328,1000.0
565,Towson,EAGL,2018,44,195.165,195.463,193.961,1.502,3.2,1.41,1.728,1000.0,1000.0,18.338
566,UC Davis,MPSF,2018,45,195.145,195.03,194.596,0.434,3.7,2.632,2.611,2.666,3.467,12.586
567,UCLA,Pac12,2018,1,197.93,197.595,197.606,-0.011,39.7,1.316,1.557,2.042,1.393,0.932
568,Ursinus College,NaN,2018,75,187.31,187.05,186.718,0.332,0.0,0.194,0.2,-0.22,-0.029,-0.375
569,Utah,Pac12,2018,5,197.545,197.475,197.214,0.261,32.4,2.275,2.659,2.279,2.251,1000.0
570,Utah State,MRGC,2018,37,195.685,195.8,195.003,0.797,5.5,3.202,2.174,2.554,2.768,8.674
571,UW-Eau Claire,NaN,2018,79,185.14,185.025,184.217,0.808,0.0,4.574,1.044,1.731,3.316,1000.0
572,UW-La Crosse,NaN,2018,67,191.01,189.192,190.243,-1.051,0.0,2.475,2.009,1.854,2.885,1000.0
573,UW-Oshkosh,NaN,2018,80,184.435,182.75,185.035,-2.285,0.0,2.262,2.608,2.179,2.938,9.665
574,UW-Stout,NaN,2018,77,185.315,186.067,183.308,2.759,0.0,2.412,3.099,4.673,1.989,1000.0
575,UW-Whitewater,NaN,2018,71,190.245,189.738,189.484,0.254,0.4,3.389,1.82,2.179,1.818,10.669
576,Washington,PAC12,2018,11,196.96,196.83,196.358,0.472,12.8,2.86,2.644,3.184,2.938,10.688
577,West Chester,GEC,2018,62,193.07,192.119,192.409,-0.29,0.3,1.983,2.159,2.278,2.132,8.887
578,West Virginia,Big12,2018,36,196.07,195.481,195.561,-0.08,6.4,2.356,2.356,2.238,2.151,1000.0
579,Western Michigan,MAC,2018,46,195.11,195.085,193.757,1.328,3.8,3.385,3.024,2.38,3.338,13.778
580,William & Mary,GEC,2018,58,193.655,193.625,193.047,0.578,0.0,2.834,2.725,2.494,2.594,13.417
581,Winona State,NaN,2018,78,185.31,184.487,184.91,-0.423,0.0,1.638,2.844,2.691,3.014,1000.0
582,Yale,GEC,2018,53,194.68,193.483,193.703,-0.22,2.7,2.884,2.576,2.345,3.248,10.139
583,Seattle Pacific,NaN,2018,65,192.54,191.875,190.9,0.975,0.0,2.393,2.591,2.18,3.12,8.947
584,UIC,NaN,2018,54,194.445,194.3,193.75,0.55,0.6,2.67,2.939,2.719,2.659,10.408
585,Air Force,MPSF,2019,53,194.6,194.225,193.32,0.905,3.1,2.681,2.66,3.077,2.646,12.162
586,Alabama,SEC,2019,12,197.14,196.19,197.044,-0.854,18.2,0.341,2.059,2.474,0.496,1.931
587,Alaska,MPSF,2019,60,193.15,191.79,192.854,-1.064,1.9,1000.0,4.825,2.709,4.427,1000.0
588,Arizona,Pac12,2019,35,195.7,195.61,195.041,0.569,5.3,1.155,-0.109,2.699,2.635,1000.0
589,Arizona State,Pac12,2019,25,196.32,196.075,195.744,0.331,7.7,4.675,1000.0,2.201,2.312,1000.0
590,Arkansas,SEC,2019,18,196.38,196.125,195.931,0.194,11.5,2.88,2.829,2.769,3.021,10.05
591,Auburn,SEC,2019,16,196.83,196.445,196.278,0.167,13.4,2.956,2.694,2.311,2.666,10.183
592,Ball State,MAC,2019,45,194.895,194.844,194.056,0.788,1.7,2.182,2.933,2.485,2.4,9.518
593,Boise State,MRGC,2019,15,196.725,196.619,196.35,0.269,13.9,2.664,2.546,2.491,2.722,10.095
594,Bowling Green,2763,2019,52,194.455,194.2,192.55,1.65,4.5,4.183,3.34,2.781,3.564,1000.0
595,Bridgeport,GEC,2019,44,195.23,195.065,194.183,0.882,3.0,2.692,2.22,2.372,2.567,9.269
596,Brockport,NaN,2019,68,190.73,189.525,189.753,-0.228,0.4,4.139,5.78,3.352,1.67,1000.0
597,Brown,GEC,2019,62,192.66,193.013,190.844,2.169,0.6,1.684,1.81,1.617,3.264,10.346
598,BYU,MRGC,2019,21,196.57,196.425,195.812,0.613,9.6,3.256,2.085,2.402,3.453,1000.0
599,California,Pac12,2019,11,196.93,196.875,196.262,0.613,14.5,2.507,2.615,2.612,2.735,10.503
600,Centenary College,MIC,2019,67,190.785,190.035,188.904,1.131,0.0,2.6,2.398,2.997,2.888,11.275
601,Central Michigan,MAC,2019,33,195.735,195.445,194.9,0.545,3.2,1.014,3.508,1.978,1.324,14.405
602,Cornell,GEC,2019,59,193.55,193.112,192.436,0.676,2.2,2.935,3.215,2.309,3.157,1000.0
603,Cortland State,NaN,2019,76,186.155,186.135,184.121,2.014,0.4,3.086,2.532,2.554,3.74,11.615
604,Denver,Big12,2019,4,197.57,197.32,197.071,0.249,27.2,2.912,3.023,2.476,3.027,9.664
605,Eastern Michigan,MAC,2019,48,194.675,194.912,193.812,1.1,1.4,3.06,2.276,2.642,2.816,1000.0
606,Florida,SEC,2019,10,197.76,197.645,197.432,0.213,42.0,2.753,2.967,2.691,2.745,9.33
607,George Washington,EAGL,2019,32,195.45,194.9,195.018,-0.118,1.1,2.355,2.56,2.511,2.714,9.146
608,Georgia,SEC,2019,8,197.36,197.269,196.573,0.696,28.3,2.721,2.108,2.792,3.024,9.445
609,Gustavus Adolphus,NaN,2019,80,183.76,184.1,181.957,2.143,0.0,1.994,1.801,1.242,1.592,6.423
610,Hamline,NaN,2019,78,184.165,184.35,182.568,1.782,0.0,1000.0,1000.0,3.499,3.084,1000.0
611,Illinois,Big10,2019,23,195.935,194.992,195.403,-0.411,6.7,2.019,2.603,2.676,3.519,1000.0
612,Illinois State,MIC,2019,56,193.885,193.142,192.405,0.737,0.6,2.601,2.45,2.308,2.492,8.844
613,Iowa,Big10,2019,31,195.8,195.055,195.075,-0.02,5.6,3.369,3.645,2.651,2.944,12.046
614,Iowa State,Big12,2019,20,196.145,195.54,195.544,-0.004,6.4,2.853,2.962,2.737,3.367,1000.0
615,Ithaca College,NaN,2019,69,189.6,189.375,188.45,0.925,0.4,2.931,2.926,1.939,3.987,1000.0
616,Kent State,MAC,2019,38,195.335,194.725,193.971,0.754,2.6,2.624,3.375,2.604,3.453,1000.0
617,Kentucky,SEC,2019,9,197.26,196.63,196.536,0.094,17.3,2.779,2.916,2.665,2.947,9.952
618,Lindenwood,MIC,2019,36,195.515,194.762,194.936,-0.174,1.9,2.399,1000.0,2.771,3.102,1000.0
619,LSU,SEC,2019,2,197.885,197.469,197.282,0.187,31.7,2.745,2.612,2.262,3.086,1000.0
620,Maryland,Big10,2019,30,195.84,194.965,195.306,-0.341,2.7,3.258,2.772,3.304,3.425,10.901
621,Michigan,Big10,2019,5,197.36,196.912,196.894,0.018,23.1,2.396,2.5,2.406,2.503,9.575
622,Michigan State,Big10,2019,41,195.215,194.331,194.862,-0.531,3.4,2.603,2.288,3.093,3.026,9.469
623,Minnesota,BIG10,2019,13,196.92,196.669,196.34,0.329,19.8,2.506,2.398,2.496,2.304,1000.0
624,Missouri,SEC,2019,17,196.47,196.095,195.972,0.123,5.5,3.066,2.602,2.549,3.266,1000.0
625,Nebraska,Big10,2019,14,196.815,196.735,196.086,0.649,17.9,1.029,1.99,1.381,1.376,2.373
626,New Hampshire,EAGL,2019,34,195.68,195.417,194.944,0.473,5.3,2.212,3.113,2.178,2.672,1000.0
627,North Carolina,EAGL,2019,49,194.615,194.787,193.582,1.205,6.6,2.783,2.831,2.943,2.411,11.309
628,North Carolina State,EAGL,2019,28,195.72,195.725,195.13,0.595,3.6,3.164,2.661,2.995,4.27,1000.0
629,Northern Illinois,MAC,2019,40,195.25,194.66,194.671,-0.011,3.8,2.971,2.646,2.743,2.886,9.309
630,Ohio State,Big10,2019,29,195.99,195.869,195.275,0.594,4.5,3.14,2.395,3.148,2.715,11.08
631,Oklahoma,Big12,2019,1,198.288,197.955,197.891,0.064,53.9,2.501,3.09,2.908,2.485,11.798
632,Oregon State,PAC12,2019,6,196.845,196.607,196.314,0.293,16.7,2.209,2.449,2.185,2.265,8.87
633,Penn State,Big10,2019,24,196.08,195.775,195.5,0.275,6.7,1.554,3.609,2.123,3.147,1000.0
634,Pennsylvania,GEC,2019,57,193.665,193.462,192.422,1.04,0.0,2.117,2.269,2.695,2.224,8.987
635,Pittsburgh,EAGL,2019,43,194.95,194.725,194.286,0.439,0.4,3.365,3.09,3.376,3.556,10.814
636,Rutgers,Big10,2019,47,194.775,194.85,193.572,1.278,3.8,2.629,2.196,2.178,2.97,1000.0
637,S.E. Missouri,MIC,2019,70,189.045,188.825,186.578,2.247,0.7,2.971,2.223,2.117,3.044,8.874
638,Sacramento State,MPSF,2019,64,192.51,191.294,192.311,-1.017,0.4,2.627,3.216,2.556,2.678,13.537
639,San Jose State,MPSF,2019,54,194.165,193.5,193.662,-0.162,2.8,3.018,3.364,3.322,3.498,13.074
640,Southern Conn.,GEC,2019,65,191.915,191.613,191.19,0.423,0.0,3.046,3.337,2.62,2.912,11.843
641,Southern Utah,MRGC,2019,26,196.045,195.24,195.675,-0.435,3.5,2.549,2.415,2.525,2.719,9.85
642,Springfield College,NaN,2019,73,187.645,188.442,186.55,1.892,0.0,2.689,2.47,3.314,1.74,1000.0
643,Stanford,PAC12,2019,22,196.05,195.731,195.634,0.097,4.5,3.045,2.761,2.509,2.657,1000.0
644,Temple,EAGL,2019,46,194.865,194.781,193.814,0.967,1.3,3.038,2.737,2.744,2.434,10.218
645,Texas Woman's,MIC,2019,55,193.945,193.83,192.541,1.289,0.6,2.363,2.482,2.362,2.379,10.747
646,Towson,EAGL,2019,58,193.595,193.35,192.806,0.544,1.1,2.148,2.531,2.306,2.176,11.166
647,UC Davis,MPSF,2019,39,195.265,194.835,194.764,0.071,3.1,2.993,2.713,1000.0,2.181,1000.0
648,UCLA,Pac12,2019,3,198.07,197.79,197.763,0.027,44.0,2.546,2.986,2.759,3.264,11.087
649,Ursinus College,NaN,2019,77,184.37,184.812,183.663,1.149,0.0,2.647,2.08,2.347,2.442,1000.0
650,Utah,Pac12,2019,7,197.535,197.4,197.223,0.177,28.2,2.312,2.335,2.331,2.303,9.687
651,Utah State,MRGC,2019,42,195.035,194.781,194.882,-0.101,4.8,3.872,2.269,1.735,1000.0,1000.0
652,UW-Eau Claire,NaN,2019,81,183.355,182.933,182.192,0.741,0.0,1000.0,5.696,1.934,1000.0,1000.0
653,UW-La Crosse,NaN,2019,75,186.95,186.887,186.515,0.372,0.0,2.189,2.779,2.379,2.503,9.971
654,UW-Oshkosh,NaN,2019,71,188.535,184.613,187.404,-2.791,0.0,2.542,2.575,2.373,2.561,8.892
655,UW-Stout,NaN,2019,71,188.82,188.363,188.095,0.268,0.0,2.712,1.15,3.253,2.675,8.207
656,UW-Whitewater,NaN,2019,74,187.615,187.733,186.075,1.658,0.0,1.804,2.147,1.603,1.131,9.842
657,Washington,PAC12,2019,19,196.505,196.187,196.222,-0.035,10.5,2.838,3.013,2.686,2.814,11.143
658,West Chester,GEC,2019,61,192.79,191.617,191.975,-0.358,0.3,2.702,2.481,2.531,2.77,1000.0
659,West Virginia,Big12,2019,27,195.845,195.68,195.353,0.327,7.1,2.638,2.602,2.261,2.719,9.68
660,Western Michigan,MAC,2019,50,194.53,194.375,193.668,0.707,1.4,3.315,3.644,2.875,3.634,1000.0
661,William & Mary,GEC,2019,63,192.52,192.683,191.686,0.997,1.3,3.349,1000.0,2.373,3.768,1000.0
662,Winona State,NaN,2019,79,183.91,181.658,183.832,-2.174,0.0,1.109,2.572,2.784,1.993,14.373
663,Yale,GEC,2019,51,194.46,193.712,194.353,-0.641,1.4,0.535,1.797,1.471,1.964,2.448
664,UIC,NaN,2019,37,195.64,194.95,195.173,-0.223,2.4,1000.0,2.671,2.548,2.42,1000.0
665,Air Force,MPSF,2021,53,193.285,193.533,192.011,1.522,0.7,4.388,3.617,3.965,3.81,1000.0
666,Alabama,SEC,2021,5,197.545,197.181,197.178,0.003,28.8,2.324,2.698,2.474,2.684,8.557
667,Arizona,Pac12,2021,27,195.63,194.981,195.375,-0.394,3.8,2.508,2.014,2.603,2.791,8.702
668,Arizona State,Pac12,2021,9,197.0,196.64,196.456,0.184,15.5,2.426,2.432,2.436,2.793,8.107
669,Arkansas,SEC,2021,13,197.145,197.056,196.696,0.36,26.0,2.857,2.35,2.024,2.896,1000.0
670,Auburn,SEC,2021,35,196.705,196.744,195.905,0.839,15.3,2.045,2.064,2.036,2.224,9.304
671,Ball State,MAC,2021,37,195.4,194.356,195.329,-0.973,4.1,3.005,2.46,2.586,2.916,9.053
672,Boise State,MRGC,2021,24,196.6,196.55,195.9,0.65,9.9,3.72,2.222,2.631,2.811,1000.0
673,Bowling Green,2763,2021,50,193.16,192.525,193.3,-0.775,0.9,3.342,2.329,2.805,3.01,10.526
674,BYU,MRGC,2021,19,196.98,197.031,196.467,0.564,14.7,3.46,2.265,2.359,1.9,1000.0
675,California,Pac12,2021,7,197.575,197.125,197.258,-0.133,30.6,2.428,2.637,2.592,3.487,10.499
676,Centenary College,MIC,2021,55,189.42,189.012,188.421,0.591,0.0,2.397,2.964,2.339,2.791,1000.0
677,Central Michigan,MAC,2021,26,196.045,196.233,194.907,1.326,9.1,2.725,2.829,2.541,2.836,1000.0
678,Denver,Big12,2021,10,197.175,196.755,196.946,-0.191,25.4,2.825,2.414,2.7,2.83,10.771
679,Eastern Michigan,MAC,2021,32,195.795,195.212,195.128,0.084,4.0,3.427,3.092,2.443,2.671,11.889
680,Florida,SEC,2021,4,197.83,197.719,197.522,0.197,40.1,2.182,1.826,2.208,2.558,9.006
681,George Washington,EAGL,2021,46,0.0,195.675,194.512,1.163,3.3,3.112,2.558,3.063,2.431,1000.0
682,Georgia,SEC,2021,18,196.54,196.675,196.29,0.385,14.8,2.209,2.68,2.601,2.476,1000.0
683,Gustavus Adolphus,NaN,2021,63,0.0,177.188,181.863,-4.675,0.0,2.416,2.69,2.269,3.35,10.119
684,Hamline,NaN,2021,62,0.0,179.338,180.3,-0.962,0.0,2.527,2.89,1.717,2.654,9.816
685,Illinois,Big10,2021,20,196.51,196.608,196.15,0.458,9.5,2.615,2.474,1.964,2.5,8.931
686,Illinois State,MIC,2021,43,194.885,193.983,193.229,0.754,3.3,2.613,3.262,2.402,2.713,9.805
687,Iowa,Big10,2021,17,196.715,196.644,196.461,0.183,18.6,3.576,4.29,2.472,3.783,15.525
688,Iowa State,Big12,2021,21,196.485,196.113,196.025,0.088,12.5,1.925,2.674,2.448,1.302,1000.0
689,Kent State,MAC,2021,31,195.57,195.29,195.089,0.201,6.2,3.164,3.044,3.167,2.901,1000.0
690,Kentucky,SEC,2021,11,197.0,196.681,196.704,-0.023,19.9,2.848,2.53,2.734,2.39,9.845
691,Lindenwood,MIC,2021,44,195.06,194.417,193.984,0.433,1.8,3.087,2.769,2.817,3.879,9.676
692,LIU,EAGL,2021,54,191.365,191.017,190.76,0.257,1.1,1.683,1.637,1.445,2.287,3.975
693,LSU,SEC,2021,6,197.702,197.419,197.383,0.036,37.2,2.725,2.768,2.976,3.225,9.667
694,Maryland,Big10,2021,30,195.65,195.438,195.369,0.069,6.6,2.057,2.385,2.189,2.375,8.937
695,Michigan,Big10,2021,1,197.948,196.662,197.848,-1.186,42.0,2.412,2.398,2.05,2.617,9.324
696,Michigan State,Big10,2021,56,0.0,195.775,194.5,1.275,4.2,2.825,2.596,2.937,2.76,10.525
697,Minnesota,BIG10,2021,8,197.49,197.295,196.852,0.443,33.1,2.815,2.053,2.672,2.272,1000.0
698,Missouri,SEC,2021,14,196.465,195.963,196.011,-0.048,9.9,2.73,2.833,2.707,2.633,9.317
699,Nebraska,Big10,2021,39,195.415,194.6,195.308,-0.708,7.0,2.201,2.265,1.939,2.135,3.558
700,New Hampshire,EAGL,2021,38,195.205,194.881,194.587,0.294,6.1,2.518,2.685,2.689,2.86,10.189
701,North Carolina,EAGL,2021,41,195.325,195.725,195.171,0.554,5.0,2.792,2.629,2.748,2.728,11.685
702,North Carolina State,EAGL,2021,15,196.335,196.035,195.788,0.247,8.3,3.181,2.831,2.835,3.017,13.864
703,Northern Illinois,MAC,2021,45,195.0,194.575,194.243,0.332,3.0,2.422,3.047,2.337,3.328,10.416
704,Ohio State,Big10,2021,16,196.145,196.188,195.569,0.619,5.3,2.413,2.594,2.531,3.383,1000.0
705,Oklahoma,Big12,2021,2,198.075,197.06,197.689,-0.629,40.1,3.551,2.489,2.399,3.746,12.56
706,Oregon State,PAC12,2021,22,196.27,194.875,196.025,-1.15,14.9,2.458,2.578,2.587,2.688,9.637
707,Penn State,Big10,2021,33,195.58,195.044,195.439,-0.395,5.2,2.228,2.597,2.541,2.26,9.911
708,Pittsburgh,EAGL,2021,49,194.19,194.242,193.26,0.982,2.0,3.162,2.465,2.273,1.974,9.222
