,Name,School,L10_High_FX,L10_Ave_FX,Freshman,NCAA_High_FX,NCAA_Ave_FX,FX_nqs,FX_delta
401,Ava Gaudet,Winona State,7.825,1.95625,2022,0.0,0.0,0.0,-7.825
402,Carly Bauman,Michigan,9.825,7.231617647058824,2021,9.875,9.729,9.83,0.05
403,Erin Fortman,Minnesota,9.7,7.2827586206896555,2021,9.85,9.425,0.0,0.15
404,Kyra Burns,Missouri,9.625,6.911413043478262,2022,9.825,9.742,0.0,0.2
405,Aubri Schwartze,Southern Utah,9.65,4.205208333333334,2021,9.9,9.835,9.885,0.25
406,Grace Taylor,Georgia,9.3,7.152272727272727,2009,9.925,9.803,9.915,0.625
407,Brianna Brooks,Utah State,9.6,7.106451612903225,2021,0.0,0.0,0.0,-9.6
408,Katie McNamara,Washington,9.575,6.685576923076923,2021,9.875,9.729,9.79,0.3
409,Sara Ulias,UCLA,9.475,5.198684210526315,2021,9.85,9.781,0.0,0.375
410,Sophia McClelland,BYU,9.65,6.8358333333333325,2021,0.0,0.0,0.0,-9.65
411,Sarina Ross,Bowling Green,9.325,6.31590909090909,2021,0.0,0.0,0.0,-9.325
412,Riley Goldberg,LIU,9.25,6.6875,2021,9.475,9.475,0.0,0.225
413,Lauren Goble,UW-Whitewater,9.4,6.0661764705882355,2021,0.0,0.0,0.0,-9.4
414,Katelyn Searle,Sacramento State,9.4,6.1625000000000005,2022,0.0,0.0,0.0,-9.4
415,Reyna Guggino,Michigan,9.525,6.816666666666666,2021,9.85,9.755,9.805,0.325
416,Emily Wood,Rutgers,9.575,5.036250000000001,2021,9.9,9.701,9.86,0.325
417,Katie Kowalski,Central Michigan,9.375,6.866346153846154,2021,9.875,9.727,9.83,0.5
418,Angel Stuart,Utah State,9.575,6.49,2021,0.0,0.0,0.0,-9.575
419,Lauren Kramer,Brown,9.35,5.334615384615386,2022,9.7,9.395,0.0,0.35
420,Audrey Koester,UW-Oshkosh,9.075,5.01875,2021,8.8,8.7,0.0,-0.275
421,Katy Cash,Gustavus Adolphus,8.5,6.28125,2021,9.175,8.815,0.0,0.675
422,Lauren Bannister,Bowling Green,9.6,6.595535714285713,2022,9.775,9.678,9.72,0.175
423,Suki Pfister,Ball State,9.225,5.865178571428571,2021,0.0,0.0,0.0,-9.225
424,Regina Walton,Cornell,9.6,8.019642857142857,2022,0.0,0.0,0.0,-9.6
425,Sierra Bauman,New Hampshire,9.675,6.061904761904763,2021,9.8,9.6,9.67,0.125
426,Madison Rush,Lindenwood,9.525,6.009999999999999,2021,9.65,9.567,0.0,0.125
427,Sheridan Ramsey,Oklahoma,9.525,7.452173913043479,2022,0.0,0.0,0.0,-9.525
428,Kinsey Davis,Nebraska,9.625,6.570833333333333,2021,0.0,0.0,0.0,-9.625
429,Sarah Moravansky,Western Michigan,9.5,4.78695652173913,2021,9.875,9.773,9.845,0.375
430,Lanie Hyman,Temple,9.5,7.570833333333334,2021,0.0,0.0,0.0,-9.5
431,Cyrena Whalen,Temple,9.1,5.5473684210526315,2021,0.0,0.0,0.0,-9.1
432,Olivia Lynd,Northern Illinois,9.525,7.5125,2021,9.775,9.733,0.0,0.25
433,Kaitlyn Farley,UW-La Crosse,9.175,8.665000000000001,2022,0.0,0.0,0.0,-9.175
434,Ananda Brown,Auburn,9.875,6.9750000000000005,2022,9.0,9.0,0.0,-0.875
435,Kelly Sulek,Ball State,9.275,2.9791666666666665,2021,0.0,0.0,0.0,-9.275
436,Eva Phair,Cornell,9.1,5.540625,2022,0.0,0.0,0.0,-9.1
437,Chase Brock,LSU,9.75,7.112121212121211,2021,0.0,0.0,0.0,-9.75
438,Connie Hsu,Pennsylvania,9.7,7.129999999999999,2022,9.925,9.85,0.0,0.225
439,Savannah Newsome,Lindenwood,9.3,6.3257812499999995,2021,0.0,0.0,0.0,-9.3
440,Jayci Jordan,Southern Conn.,9.2,7.182142857142856,2022,0.0,0.0,0.0,-9.2
