,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs
1798,Ashley Hiller,Florida,9.325,6.775,2016,0.0,0.0,0.0
1799,Amanda Cheney,Florida,9.6,7.74375,2016,9.875,9.735,0.0
1800,Lauryn Mattson,Arizona,9.425,7.016304347826087,2016,0.0,0.0,0.0
1801,Rachel Binkley,Western Michigan,9.625,7.35,2016,9.825,9.484,9.795
1802,Sidney Dukes,Kentucky,9.625,6.216666666666666,2016,9.95,9.798,9.93
1803,Corinne Belkoff,Arizona State,9.525,7.340322580645159,2016,9.8,9.43,9.705
1804,Jenna Squillo,UIC,9.425,6.704411764705882,2016,9.8,9.62,9.765
1805,Brooke Kelly,Missouri,9.675,5.979629629629629,2016,9.925,9.721,9.895
1806,Julia McLaughlin,George Washington,9.55,7.142999999999999,2016,0.0,0.0,0.0
1807,Michelle Amoresano,Rutgers,9.475,7.140624999999999,2016,9.8,9.526,9.735
1808,Janelle McClelland,Ohio State,9.4,7.0475,2016,9.725,9.542,0.0
1809,Monica Riley,Washington,9.65,6.764285714285715,2017,9.8,9.611,9.75
1810,India Anderson,Temple,9.525,7.086904761904763,2016,0.0,0.0,0.0
1811,Krista Collins,Pittsburgh,9.575,7.175,2016,9.75,9.361,9.665
1812,Aya Suzuki,UC Davis,9.6,7.021739130434782,2016,9.85,9.603,9.815
1813,Rachael Donovan,Illinois,9.6,6.3235294117647065,2016,8.5,8.338,0.0
1814,Chelsea Shu,California,9.675,7.083653846153846,2017,9.9,9.794,9.875
1815,Kelly Martin,Iowa State,9.3,6.189473684210525,2016,8.45,8.45,0.0
1816,Kaitlyn Szafranski,Arizona State,9.525,7.383928571428571,2018,0.0,0.0,0.0
1817,Yasmine Yektaparast,UC Davis,9.55,7.561363636363637,2016,9.875,9.711,9.85
1818,Diana Chesnok,Denver,9.6,7.38375,2016,9.875,9.619,9.815
1819,Madeleine Huber,Missouri,9.375,6.34861111111111,2016,0.0,0.0,0.0
1820,Kaylin Mancari,Alaska,9.55,7.10375,2016,9.825,9.559,9.78
1821,Riahanah Ali,Rutgers,9.525,7.089285714285714,2016,9.675,9.52,9.625
1822,Natasha Trejo,BYU,9.575,6.892968749999999,2016,9.9,9.692,9.88
1823,Katelyn Lentz,Arizona State,9.8,7.668181818181818,2016,9.9,9.7,9.85
1824,Emily Briones,Utah State,9.7,7.329166666666666,2016,9.925,9.676,9.865
1825,Josalyn Ray,San Jose State,9.45,6.656428571428571,2016,9.825,9.551,9.7
1826,Grace Broadhurst,Denver,9.475,6.775,2019,0.0,0.0,0.0
1827,McKenna Singley,Oregon State,9.65,7.656521739130435,2016,9.9,9.725,9.863
1828,Carly Galpin,West Virginia,9.6,7.319736842105262,2016,9.875,9.741,9.865
1829,Tiara Wright,West Virginia,9.5,6.783333333333333,2016,9.85,9.631,9.82
1830,Katie Morsefield,Bowling Green,9.275,8.85,2016,0.0,0.0,0.0
1831,Kailey Miller,Central Michigan,9.5,7.292391304347827,2016,9.6,9.238,0.0
1832,Aysia Sharif,Towson,9.375,7.2320312499999995,2016,9.725,9.655,0.0
1833,Roya Shirley,Michigan State,9.475,7.4140000000000015,2016,9.8,9.516,9.76
1834,Kristyn Hoffa,Washington,9.55,6.545370370370371,2017,0.0,0.0,0.0
1835,Meghan Cash,Brockport,9.0,7.0711538461538455,2016,9.3,8.95,0.0
1836,Stephanie Mager,Brockport,9.125,6.561363636363636,2016,9.85,9.26,9.545
1837,Kaitlyn Menzione,Ball State,9.45,6.6890624999999995,2016,9.825,9.541,9.795
1838,Cheyenne Hill,BYU,9.325,6.70625,2016,9.875,9.704,9.815
1839,Xarria Lewis,Missouri,8.95,5.5125,2016,0.0,0.0,0.0
1840,Brittany Capozzi,Bridgeport,9.075,7.0625,2016,9.8,9.58,9.745
1841,Avery Rickett,Alabama,9.725,7.065277777777778,2016,6.0,6.0,0.0
1842,Maryanna Peterson,Seattle Pacific,9.525,6.870588235294118,2016,9.025,9.025,0.0
1843,Sydney Finke,Ball State,9.6,7.012962962962963,2016,9.775,9.413,9.69
1844,Morgan Wilson,Arizona State,9.425,7.0458333333333325,2016,9.85,9.77,9.83
1845,Mary Elle Arduino,Towson,9.65,7.046875000000001,2016,9.95,9.768,9.915
1846,Kaitlyn Holley,Texas Woman's,8.9,6.399137931034484,2016,0.0,0.0,0.0
1847,Mary Jacobsen,Oregon State,9.625,6.98888888888889,2016,0.0,0.0,0.0
1848,Rachael Underwood,Western Michigan,9.525,7.479166666666667,2016,9.9,9.696,9.87
1849,Cassidy Jung,Brown,9.15,6.265625,2016,9.85,9.421,9.795
1850,Julia Beyer,Bowling Green,9.475,6.46388888888889,2017,9.8,9.566,9.775
1851,Kiya Bjorge,UW-Eau Claire,9.225,6.2796875,2016,9.625,8.921,9.45
1852,Thomara Powell-Brown,Bridgeport,9.225,6.116666666666666,2016,0.0,0.0,0.0
1853,Carly Clark,Eastern Michigan,9.375,6.7897058823529415,2018,9.8,9.8,0.0
1854,Meghan Webb,Hamline,9.45,6.421428571428572,2016,9.75,9.297,9.635
1855,Candis Kowalik,Brockport,9.45,6.738043478260869,2016,9.85,9.6,9.775
1856,Lauren Marshall,UW-Whitewater,9.4,6.993478260869564,2017,9.3,9.25,0.0
1857,Charli Spivey,Pittsburgh,9.425,6.140000000000001,2017,9.625,9.625,0.0
1858,Nuriya Mack,Kent State,9.55,5.6308823529411764,2018,9.775,8.963,0.0
1859,Julia Green,Brown,9.575,5.703125,2017,9.8,9.492,9.745
1860,Malia Mackey,Cornell,9.65,7.425000000000002,2016,9.8,9.445,9.78
1861,Shynelle Agaran,Maryland,9.6,6.568181818181819,2016,9.875,9.699,9.84
1862,Roxanne Trachtenberg,Yale,9.45,7.505769230769231,2016,9.775,9.582,9.65
1863,Gianna Plaksa,Central Michigan,9.525,6.0390625,2016,9.9,9.583,9.81
1864,Aaliyah Kerr,William & Mary,8.9,5.425000000000001,2016,9.825,9.334,9.675
1865,Justine Callis,Arizona State,9.5,7.029761904761905,2016,9.925,9.711,9.885
1866,Victoria Gery,Ithaca College,9.1,5.7625,2016,0.0,0.0,0.0
1867,Alberta Massey,Pennsylvania,9.4,7.0357142857142865,2016,0.0,0.0,0.0
1868,Erika Houser,Bowling Green,9.1,6.438888888888888,2016,0.0,0.0,0.0
1869,Amy Thomas,Ithaca College,9.1,6.283333333333332,2017,0.0,0.0,0.0
1870,Miranda Murphy,Rhode Island College,8.5,6.236111111111111,2016,9.6,8.942,9.345
1871,Kaylee Cole,Stanford,9.75,6.782608695652174,2017,9.875,9.645,9.82
1872,Alex Marks,Oklahoma,9.65,9.27,2016,0.0,0.0,0.0
1873,Ava Verdeflor,Penn State,9.7,7.473684210526314,2018,9.875,9.636,9.815
1874,Rachel Ley,Rutgers,9.375,6.04423076923077,2018,0.0,0.0,0.0
