,Name,School,L10_High_BB,L10_Ave_BB,Freshman,NCAA_High_BB,NCAA_Ave_BB,BB_nqs,BB_delta
659,Ashley Veglucci,Central Michigan,9.4,7.180714285714285,2021,9.85,9.602,9.745,0.45
660,Emma Silberman,Maryland,9.7,7.526041666666668,2021,9.875,9.721,9.84,0.175
661,Jordyn Jaslow,Arizona State,9.8,7.493000000000001,2021,9.825,9.55,0.0,0.025
662,Lindsey Moffitt,S.E. Missouri,9.65,6.65,2021,0.0,0.0,0.0,-9.65
663,Sydney Lopez,Lindenwood,9.375,5.979166666666665,2021,0.0,0.0,0.0,-9.375
664,Joanna Chambers,Bridgeport,9.425,6.846250000000001,2022,0.0,0.0,0.0,-9.425
665,Kyla Podges,Texas Woman's,9.45,6.751851851851851,2021,9.825,9.681,9.785,0.375
666,Cameron Kelperis,San Jose State,9.5,7.076785714285714,2021,9.7,9.3,0.0,0.2
667,Jori Jackard,Michigan State,9.625,6.296794871794872,2021,9.775,9.775,0.0,0.15
668,Emma Ingrassia,Southern Utah,9.45,6.825925925925926,2021,0.0,0.0,0.0,-9.45
669,Larissa Biette,New Hampshire,9.575,6.647916666666667,2021,0.0,0.0,0.0,-9.575
670,Camille Vitoff,Towson,9.575,7.063636363636365,2021,9.85,9.661,9.745,0.275
671,Ella Poley,Brown,9.425,6.432692307692308,2022,0.0,0.0,0.0,-9.425
672,Hadley Hamar,Utah State,9.4,6.7101851851851855,2021,0.0,0.0,0.0,-9.4
673,Aubrey Nick,Iowa,9.425,7.233620689655173,2021,9.825,9.652,9.805,0.4
674,Madeline Tyau,Southern Utah,9.575,6.6736111111111125,2022,9.3,9.3,0.0,-0.275
675,Gayla Griswold,Lindenwood,9.5,7.431617647058823,2021,9.825,9.595,9.77,0.325
676,Taylor Waldo,Ball State,9.6,7.37093023255814,2021,9.9,9.668,9.85,0.3
677,Julia Waight,Illinois,9.525,7.207142857142859,2021,0.0,0.0,0.0,-9.525
678,Allyson Steffensmeier,Iowa,9.475,6.6734375,2021,0.0,0.0,0.0,-9.475
679,Anna Sumner,Auburn,9.525,7.071153846153846,2021,0.0,0.0,0.0,-9.525
680,Aleka Tsiknias,Maryland,9.725,6.77125,2021,0.0,0.0,0.0,-9.725
681,Audrey Kaufman,UW-La Crosse,9.4,7.206818181818179,2021,9.65,9.279,9.31,0.25
682,Julianna Weil,North Carolina,9.525,6.767500000000001,2021,0.0,0.0,0.0,-9.525
683,Amy Stewart,Towson,9.325,6.629545454545455,2021,0.0,0.0,0.0,-9.325
684,Cameryn Nichols,Ithaca College,9.475,7.5874999999999995,2022,0.0,0.0,0.0,-9.475
685,Kaitlyn Bertola,Rutgers,9.35,6.569642857142857,2022,0.0,0.0,0.0,-9.35
686,Ciara Ward,Pittsburgh,9.75,6.928947368421053,2021,0.0,0.0,0.0,-9.75
687,Maya Ford,Iowa State,9.225,5.39423076923077,2022,0.0,0.0,0.0,-9.225
688,Taylor Pitchell,Central Michigan,9.525,7.063095238095238,2021,9.65,9.375,0.0,0.125
689,Katherine Shek,George Washington,9.55,5.5560606060606075,2021,9.825,9.692,9.805,0.275
690,Annie Corbett,Gustavus Adolphus,9.45,6.55,2021,9.625,9.232,9.195,0.175
691,Lexi Powe,Illinois,9.15,6.358928571428572,2021,0.0,0.0,0.0,-9.15
692,Beth Lazarus,Texas Woman's,9.275,7.300000000000001,2022,8.95,8.95,0.0,-0.325
693,Christin Bandy,Illinois State,9.2,6.296250000000001,2021,0.0,0.0,0.0,-9.2
694,Hailey Vultaggio,Southern Utah,9.375,7.272727272727273,2021,9.9,9.687,9.86,0.525
695,Shruthi Anand,North Carolina State,9.325,5.24264705882353,2022,0.0,0.0,0.0,-9.325
696,Mina Margraf,BYU,9.55,7.845833333333333,2022,9.875,9.614,9.77,0.325
697,Gabby McLaughlin,Auburn,9.35,9.35,2021,9.975,9.821,9.935,0.625
698,Maya Albertin,Minnesota,9.525,6.928703703703705,2021,0.0,0.0,0.0,-9.525
699,Tori Loomis,Michigan State,8.975,8.975,2022,0.0,0.0,0.0,-8.975
700,Amber Boll,Air Force,9.625,6.759375,2022,9.825,9.475,0.0,0.2
701,Bella Salcedo,Penn State,9.65,9.39375,2022,9.85,9.639,9.79,0.2
702,Erin Hutchison,Pittsburgh,9.475,6.551470588235293,2022,0.0,0.0,0.0,-9.475
703,Sophie Silverstein,North Carolina,8.9,6.684523809523808,2021,0.0,0.0,0.0,-8.9
704,Christina Leikam,UW-Eau Claire,9.4,6.253333333333334,2021,9.45,8.816,9.045,0.05
705,Jolie Miller,S.E. Missouri,9.35,6.2175,2021,9.9,9.614,9.77,0.55
706,Jenna Dunn,Oklahoma,9.8,7.3940789473684205,2021,9.925,9.797,9.905,0.125
707,Leilani Johnson,Centenary College,8.85,4.8583333333333325,2021,0.0,0.0,0.0,-8.85
708,McKenzie Eddy,Illinois,9.45,6.708333333333334,2022,9.8,9.275,0.0,0.35
709,Rhea Leblanc,Maryland,9.1,6.7924999999999995,2022,0.0,0.0,0.0,-9.1
710,Amanda Loo,LIU,9.425,7.348913043478261,2021,0.0,0.0,0.0,-9.425
711,Riley Daniels,Lindenwood,9.55,7.061607142857142,2021,9.675,9.35,9.285,0.125
712,Kyra Figurelli,Brockport,8.8,7.0339285714285715,2022,0.0,0.0,0.0,-8.8
713,Lindsey Thornton,Ursinus College,9.35,6.719166666666668,2022,9.4,9.4,0.0,0.05
714,Alison Silva,Rhode Island College,9.0,6.449999999999999,2022,9.575,8.889,9.21,0.575
715,Ava Boyd,Southern Conn.,9.175,5.772916666666668,2022,0.0,0.0,0.0,-9.175
716,Callie Morris,Springfield College,8.95,6.39078947368421,2022,8.9,8.9,0.0,-0.05
717,Lauren Lazaro,Brown,9.3,5.215277777777778,2022,9.75,9.638,9.65,0.45
718,Alyssa Worthington,New Hampshire,9.775,6.4823529411764715,2021,9.975,9.777,9.91,0.2
719,Jenna Devincenzo,New Hampshire,9.4,6.262499999999999,2021,9.825,9.586,9.785,0.425
720,Logan Clagg,UC Davis,9.5,6.721710526315788,2022,8.975,8.975,0.0,-0.525
721,Sirena Linton,Arizona,9.65,7.142708333333334,2021,9.925,9.781,9.913,0.275
722,Kenadi Brown,New Hampshire,9.425,7.7980769230769225,2021,9.6,9.3,0.0,0.175
723,Elease Rollins,BYU,9.85,7.6226562499999995,2021,9.975,9.772,9.94,0.125
724,Maya Green,California,9.675,6.1475,2021,0.0,0.0,0.0,-9.675
725,Alexa Solomon,San Jose State,8.95,6.455555555555556,2021,0.0,0.0,0.0,-8.95
726,Thea Michovsky,UC Davis,9.4,5.867999999999999,2022,0.0,0.0,0.0,-9.4
727,Paige Hogan,UCLA,9.35,3.155555555555556,2021,0.0,0.0,0.0,-9.35
728,Erin Morden,Boise State,9.3,7.5249999999999995,2021,0.0,0.0,0.0,-9.3
729,Katy Koopman,LIU,9.25,8.891666666666666,2021,9.8,9.386,9.625,0.55
730,Abby Mueller,Illinois,9.55,9.55,2021,9.925,9.777,9.825,0.375
731,Emma Brown,Ursinus College,9.7,6.930092592592592,2019,9.9,9.706,0.0,0.2
732,Tisana Lowe,Hamline,8.6,5.460714285714285,2021,0.0,0.0,0.0,-8.6
733,Katie Saladin,UW-La Crosse,9.0,4.147916666666667,2021,0.0,0.0,0.0,-9.0
734,Madeline Sowinski,Hamline,9.35,6.744117647058823,2021,9.575,9.275,9.455,0.225
735,Lauryn Stiff,Centenary College,9.2,6.735416666666667,2021,0.0,0.0,0.0,-9.2
736,Haley Volstad,UW-Oshkosh,0.0,0.0,2021,9.15,9.15,0.0,9.15
737,Emma Esteb,Gustavus Adolphus,9.25,7.04423076923077,2021,9.5,9.1,9.3,0.25
738,Raina Albores,Kentucky,9.55,6.9624999999999995,2021,9.85,9.438,0.0,0.3
739,Ella Burgess,Alabama,9.6,7.633333333333333,2022,9.95,9.833,9.9,0.35
740,Morgan Leigh Oldham,Auburn,9.6,7.616666666666666,2021,9.85,9.67,0.0,0.25
741,Lily Harsch,Bowling Green,9.55,7.123529411764705,2021,9.775,9.296,9.37,0.225
742,Kennedy Springer,UW-Oshkosh,8.925,6.420833333333334,2022,0.0,0.0,0.0,-8.925
743,Brianna Greenlow,North Carolina,9.675,7.0962962962962965,2021,9.875,9.565,9.77,0.2
744,Loulie Hattaway,Georgia,9.35,6.608928571428572,2022,0.0,0.0,0.0,-9.35
745,Grace Hunter,North Carolina State,8.8,6.14375,2021,0.0,0.0,0.0,-8.8
746,Savana Kotas,Central Michigan,9.425,7.133749999999999,2021,9.4,9.092,0.0,-0.025
747,Leia Randall,UW-Oshkosh,9.275,7.333928571428571,2021,9.4,9.012,0.0,0.125
748,Payton Richards,Florida,9.8,7.7303030303030305,2021,9.925,9.665,9.875,0.125
749,Kiara Gianfagna,Arkansas,9.55,7.550000000000001,2021,9.875,9.729,9.84,0.325
750,Olivia O'Donnell,Illinois,9.55,6.4350000000000005,2021,0.0,0.0,0.0,-9.55
751,Hadyn Crossen,Eastern Michigan,9.675,6.177586206896551,2021,9.9,9.712,9.855,0.225
752,Isabel Redmond,Arizona State,9.675,7.579545454545454,2022,9.575,9.575,0.0,-0.1
753,Karlie Franz,Kent State,9.15,5.7875000000000005,2021,0.0,0.0,0.0,-9.15
754,Danielle Nosek,Arizona,9.475,7.509999999999999,2021,0.0,0.0,0.0,-9.475
755,Olivia Amodei,Kent State,9.55,7.073076923076922,2021,0.0,0.0,0.0,-9.55
756,Audriana Hammond,Central Michigan,8.95,5.654545454545454,2021,8.475,8.475,0.0,-0.475
757,Madison Hickey,Arkansas,9.475,7.141666666666667,2021,0.0,0.0,0.0,-9.475
758,Faith Mylin,UW-Whitewater,8.9,6.440624999999999,2021,9.575,9.207,9.41,0.675
759,Amanda Gruber,Western Michigan,9.6,7.3870000000000005,2022,9.95,9.827,9.88,0.35
760,Paige Casper,Towson,9.375,6.3875,2021,0.0,0.0,0.0,-9.375
761,Jenna Jones,UW-Stout,9.5,5.572794117647058,2021,0.0,0.0,0.0,-9.5
762,Arianna Mamelka,Western Michigan,9.6,6.8470588235294105,2021,9.85,9.55,0.0,0.25
763,Brenna Hauser,Central Michigan,9.25,5.741379310344828,2021,0.0,0.0,0.0,-9.25
764,Amanda Jackson,William & Mary,9.4,4.836111111111111,2021,0.0,0.0,0.0,-9.4
765,Nya Pauldon,Ithaca College,9.3,5.425000000000001,2022,9.075,9.0,0.0,-0.225
766,Meg McGinley,UW-Whitewater,8.95,6.038333333333333,2021,9.625,9.272,9.465,0.675
767,Gracie Gallagher,Cortland State,9.225,6.984999999999999,2022,9.475,9.047,9.085,0.25
768,Calista Brady,Cornell,9.125,5.75,2022,0.0,0.0,0.0,-9.125
769,Chloe Bellmore,Michigan State,9.675,7.297058823529412,2021,9.825,9.75,0.0,0.15
770,Maddie Griffith,Texas Woman's,9.425,6.695192307692308,2021,0.0,0.0,0.0,-9.425
