,Name,School,L10_High_VT,L10_Ave_VT,Freshman,NCAA_High_VT,NCAA_Ave_VT,VT_nqs,VT_delta
2808,Samantha Kent,Ohio State,9.35,5.271428571428571,2013,0.0,0.0,0.0,-5.271
2809,Maggie Dunn,Ohio State,9.675,7.083333333333334,2013,9.775,9.731,0.0,2.648
2810,Lindsey Litten,West Virginia,9.1,6.19,2014,0.0,0.0,0.0,-6.19
2811,Aubrey Hine,North Carolina State,9.525,6.072222222222223,2013,0.0,0.0,0.0,-6.072
2812,Claudia Salinas,Rutgers,9.05,4.4125,2013,0.0,0.0,0.0,-4.412
2813,Patti Konschak,West Chester,9.05,5.515625,2013,0.0,0.0,0.0,-5.516
2814,Alyssa Glass,William & Mary,9.275,5.830555555555556,2013,9.875,9.54,9.755,3.709
2815,Danielle Verdon,Rutgers,9.525,6.555,2013,9.775,9.7,9.7,3.145
2816,Kristina Steffenhagen,Ursinus College,9.65,9.275,2013,9.8,9.375,9.755,0.1
2817,Megan Love,UW-Whitewater,9.325,6.036111111111111,2013,9.575,9.397,9.45,3.361
2818,Ashley DeWoolfson,Cortland State,9.3,5.6312500000000005,2013,9.625,9.392,9.525,3.761
2819,Brittany Vasile,Brockport,9.325,7.411363636363637,2015,9.675,9.426,9.575,2.015
2820,Cecelia Lorenzen,West Chester,9.2,7.289583333333334,2013,0.0,0.0,0.0,-7.29
2821,Selena Swanger,West Chester,9.325,8.99375,2014,9.7,9.552,9.685,0.558
2822,Alicia Bair,Cornell,9.425,9.205,2013,9.825,9.616,9.79,0.411
2823,Anika Woodard,Bridgeport,9.0,4.475,2014,0.0,0.0,0.0,-4.475
2824,Angela Durkac,Ball State,9.2,3.783333333333333,2013,9.425,9.425,0.0,5.642
2825,Jaida Lawrence,West Virginia,9.9,7.7775,2013,9.925,9.826,9.9,2.049
2826,Meagan Puccio,Southern Conn.,9.475,6.582142857142857,2013,9.65,9.262,9.5,2.68
2827,Kaylie Cronin,Cornell,9.25,7.22,2013,0.0,0.0,0.0,-7.22
2828,Tara Kilkenny,Temple,9.25,4.980555555555556,2013,0.0,0.0,0.0,-4.981
2829,Emily Paterson,Pennsylvania,9.275,6.295,2013,9.7,9.51,9.69,3.215
2830,Alyssa Hult,West Chester,9.3,7.534615384615385,2013,9.2,9.2,0.0,1.665
2831,Erin Patchey,Ball State,9.65,6.739285714285715,2013,9.8,9.693,9.8,2.954
2832,Kiki Parenteau,Southern Utah,9.35,6.802777777777778,2014,0.0,0.0,0.0,-6.803
2833,Kaylee Jondahl,UW-Stout,9.525,6.080555555555555,2014,9.8,9.535,9.71,3.454
2834,Jessica Borton,Ball State,9.2,8.99,2013,9.0,9.0,0.0,0.01
2835,Natalie Hall,UW-La Crosse,9.375,6.795833333333333,2013,9.475,9.356,0.0,2.56
2836,Ashlee Henfling,UW-La Crosse,9.425,6.762500000000001,2014,8.95,8.95,0.0,2.187
