,Name,School,L10_High_AA,L10_Ave_AA,Freshman,NCAA_High_AA,NCAA_Ave_AA,AA_nqs,AA_delta
3130,Stephanie Sander,BYU,36.075,35.858333333333334,2012,0.0,0.0,0.0,-36.075
3131,Erika Rudiger,New Hampshire,37.4,36.23,2012,0.0,0.0,0.0,-37.4
3132,Danielle Hoffman,Brown,36.075,35.135,2012,0.0,0.0,0.0,-36.075
3133,Katherine Prouty,UW-Stout,35.45,23.162499999999998,2012,38.55,36.844,37.78,3.1
3134,Lauren Pocius,Springfield College,35.275,23.15416666666667,2012,38.225,36.727,37.635,2.95
3135,Janis Konkle,Towson,36.3,35.33,2012,0.0,0.0,0.0,-36.3
3136,Beth Deal,West Virginia,36.825,34.675,2012,0.0,0.0,0.0,-36.825
3137,Natalie Manga,Brockport,35.225,34.768750000000004,2012,0.0,0.0,0.0,-35.225
3138,Makeda Constable,Pennsylvania,34.75,34.475,2012,0.0,0.0,0.0,-34.75
3139,McKenna Page,Seattle Pacific,36.1,22.43333333333333,2012,0.0,0.0,0.0,-36.1
3140,Ashlee Perkins,UW-Whitewater,35.85,24.032142857142855,2012,0.0,0.0,0.0,-35.85
3141,Caitlin Mann,Boise State,38.475,28.303125,2012,39.475,38.725,39.165,1.0
3142,Paige Pirie,Alaska,36.925,25.364285714285714,2012,0.0,0.0,0.0,-36.925
3143,Samantha Musto,Penn State,37.675,30.874999999999996,2013,39.025,37.962,0.0,1.35
3144,Nia  Dennis,UCLA,37.95,37.95,2018,39.475,38.882,39.07,1.525
3145,Rachel  Dickson,Georgia,36.85,36.85,2017,39.625,39.192,39.55,2.775
3146,Christina  Berg,Arizona,36.35,36.35,2017,0.0,0.0,0.0,-36.35
3147,Annette Miele,Michigan,38.675,38.287499999999994,2012,39.175,38.96,0.0,0.5
3148,Alexis Gross,Kentucky,37.825,37.5375,2012,39.05,38.709,38.93,1.225
3149,Ali Jamilah,Bowling Green,36.225,36.225,2012,38.975,38.045,0.0,2.75
3150,Meghan Cole,Southern Conn.,35.975,35.791666666666664,2012,38.225,37.411,38.12,2.25
3151,Carleigh Wrobel,William & Mary,35.65,34.98125,2012,0.0,0.0,0.0,-35.65
3152,Shannon Skochko,Maryland,35.625,35.625,2012,0.0,0.0,0.0,-35.625
3153,Melissa Idell,West Virginia,36.575,34.7125,2013,0.0,0.0,0.0,-36.575
3154,Bailey Philbin,Maryland,36.75,35.38333333333333,2013,0.0,0.0,0.0,-36.75
3155,Kristie Wei,William & Mary,35.575,34.53750000000001,2013,0.0,0.0,0.0,-35.575
3156,Cara Lord,Seattle Pacific,34.8,34.46666666666667,2012,0.0,0.0,0.0,-34.8
3157,Kelly Barock,Ball State,35.6,34.34166666666667,2012,0.0,0.0,0.0,-35.6
3158,Samantha Menichini,Southern Conn.,34.325,32.49166666666667,2012,0.0,0.0,0.0,-34.325
3159,Taylor Rohrbaugh,Southern Conn.,34.45,29.250000000000004,2012,0.0,0.0,0.0,-34.45
3160,Adrienne Hill,New Hampshire,33.9,33.9,2012,0.0,0.0,0.0,-33.9
3161,Melissa Prisco,West Chester,35.25,34.41666666666667,2012,0.0,0.0,0.0,-35.25
3162,Elena Corcoran,George Washington,27.15,24.025,2012,0.0,0.0,0.0,-27.15
3163,Hunter Dennis,Alabama,36.8,31.7,2015,0.0,0.0,0.0,-36.8
3164,Krystal Welsh,Penn State,37.875,30.7,2012,39.5,39.035,39.345,1.625
3165,Cerise Witherby,Oregon State,37.45,36.875,2012,0.0,0.0,0.0,-37.45
3166,Brianna Gades,Arizona State,37.175,22.729166666666668,2013,0.0,0.0,0.0,-37.175
3167,Joyce Li,Yale,37.325,25.692857142857143,2012,38.825,37.876,38.53,1.5
3168,Marissa Unpingco,San Jose State,36.575,35.912499999999994,2013,0.0,0.0,0.0,-36.575
3169,Crystal Paz,California,36.475,29.884999999999994,2012,0.0,0.0,0.0,-36.475
3170,Marguerite Lindstrom,BYU,36.5,23.866666666666667,2013,0.0,0.0,0.0,-36.5
3171,Tori Fujinami,Illinois,36.025,23.566666666666666,2013,0.0,0.0,0.0,-36.025
