Team,Year,VT,UB,BB,FX,Overall
Auburn,2018,15,20,15,25,14
Ball State,2018,33,43,43,46,42
Boise State,2018,14,16,26,14,16
Bowling Green,2018,42,48,27,35,40
Bridgeport,2018,60,46,54,45,55
Brockport,2018,67,71,73,62,68
Brown,2018,62,59,60,64,60
BYU,2018,26,24,25,13,17
California,2018,8,15,12,22,9
Centenary College,2018,72,72,68,68,71
Central Michigan,2018,38,28,42,39,29
Cornell,2018,61,58,61,55,59
Cortland State,2018,70,74,72,69,73
Denver,2018,10,6,13,15,15
Eastern Michigan,2018,50,47,35,49,47
Florida,2018,2,3,4,5,3
George Washington,2018,11,35,11,15,25
Georgia,2018,19,18,13,18,7
Gustavus Adolphus,2018,80,81,82,80,81
Hamline,2018,75,78,79,72,76
Illinois,2018,35,19,15,30,19
Illinois State,2018,63,63,66,65,64
Iowa,2018,37,31,29,35,33
Iowa State,2018,26,30,31,33,24
Ithaca College,2018,73,70,69,71,70
Kent State,2018,45,23,38,23,34
Kentucky,2018,11,13,9,11,12
Lindenwood,2018,48,45,33,55,43
LSU,2018,5,1,3,2,4
Maryland,2018,29,14,36,38,26
Michigan,2018,7,8,5,8,13
Michigan State,2018,53,36,57,53,49
Minnesota,2018,31,10,28,34,22
Missouri,2018,22,27,20,24,20
Nebraska,2018,9,12,21,10,6
New Hampshire,2018,40,32,17,41,31
North Carolina,2018,15,55,48,6,39
North Carolina State,2018,13,34,19,20,20
Northern Illinois,2018,42,37,46,37,41
Ohio State,2018,23,22,38,15,18
Oklahoma,2018,1,2,1,3,2
Oregon State,2018,18,21,18,7,27
Penn State,2018,28,11,40,29,32
Pennsylvania,2018,65,60,59,51,61
Pittsburgh,2018,32,26,43,39,30
Rhode Island College,2018,82,82,81,82,82
Rutgers,2018,52,61,45,48,56
S.E. Missouri,2018,59,64,63,59,63
Sacramento State,2018,54,43,53,54,51
San Jose State,2018,34,52,47,46,50
Seattle Pacific,2018,58,65,64,67,65
Southern Conn.,2018,66,67,67,66,66
Southern Utah,2018,30,32,34,26,35
Springfield College,2018,74,76,76,75,74
Stanford,2018,20,40,22,19,28
Temple,2018,41,56,51,43,48
Texas Woman's,2018,44,54,55,60,52
Towson,2018,46,42,40,50,44
UC Davis,2018,47,51,37,30,45
UCLA,2018,4,4,2,1,1
UIC,2018,51,39,56,58,54
Ursinus College,2018,76,75,74,76,75
Utah,2018,3,9,8,4,5
Utah State,2018,35,49,24,30,37
UW-Eau Claire,2018,78,80,78,78,79
UW-La Crosse,2018,69,66,70,73,67
UW-Oshkosh,2018,81,79,75,81,80
UW-Stout,2018,77,73,80,79,77
UW-Whitewater,2018,71,68,71,70,71
Washington,2018,21,16,7,9,11
West Chester,2018,64,62,62,60,62
West Virginia,2018,17,37,31,28,36
Western Michigan,2018,49,41,49,42,46
William & Mary,2018,55,57,58,63,58
Winona State,2018,79,77,77,77,78
Yale,2018,57,53,52,52,53
Air Force,2017,58,57,56,58,57
Alabama,2017,5,7,4,3,6
Alaska,2017,72,70,61,68,68
Arizona,2017,34,14,39,28,26
Arizona State,2017,49,43,29,54,41
Arkansas,2017,30,34,22,40,19
Auburn,2017,21,16,19,23,15
Ball State,2017,28,47,57,42,43
Boise State,2017,14,5,13,17,13
Bowling Green,2017,23,61,31,43,46
Bridgeport,2017,53,53,43,38,51
Brockport,2017,60,69,70,59,66
Brown,2017,59,58,52,65,60
BYU,2017,30,18,44,34,33
California,2017,16,27,16,21,16
Centenary College,2017,69,71,71,69,70
Central Michigan,2017,27,32,35,22,25
Cornell,2017,65,52,51,55,55
Cortland State,2017,67,77,75,74,74
Denver,2017,7,8,10,16,9
Eastern Michigan,2017,38,14,25,39,27
Florida,2017,2,4,5,5,3
George Washington,2017,17,23,17,25,23
Georgia,2017,10,13,15,8,12
Gustavus Adolphus,2017,80,79,82,79,81
Hamline,2017,77,81,79,75,80
Illinois,2017,36,23,11,15,21
Illinois State,2017,57,60,59,52,58
Iowa,2017,26,19,14,20,18
Iowa State,2017,25,31,31,30,29
Ithaca College,2017,76,78,74,80,77
Kent State,2017,32,34,28,17,34
Kentucky,2017,9,12,12,13,14
Lindenwood,2017,49,56,42,53,50
LSU,2017,1,3,2,2,2
Maryland,2017,38,39,46,37,37
Michigan,2017,6,11,7,5,10
Michigan State,2017,54,42,38,34,40
Minnesota,2017,24,30,40,14,30
Missouri,2017,11,19,18,19,17
Nebraska,2017,13,9,22,11,7
New Hampshire,2017,33,37,19,32,35
North Carolina,2017,37,45,21,41,36
North Carolina State,2017,34,36,48,50,44
Northern Illinois,2017,40,28,55,27,39
Ohio State,2017,20,25,41,26,24
Oklahoma,2017,3,1,1,1,1
Oregon State,2017,12,10,8,10,11
Penn State,2017,45,22,30,29,31
Pennsylvania,2017,66,62,60,56,62
Pittsburgh,2017,41,51,54,44,53
Rhode Island College,2017,82,82,81,82,82
Rutgers,2017,48,59,44,51,49
S.E. Missouri,2017,62,65,68,61,64
Sacramento State,2017,43,41,53,48,46
San Jose State,2017,51,44,47,48,48
Seattle Pacific,2017,55,67,62,66,65
Southern Conn.,2017,70,72,67,67,69
Southern Utah,2017,19,17,24,9,22
Springfield College,2017,74,73,77,72,73
Stanford,2017,14,29,27,46,28
Temple,2017,46,49,57,61,54
Texas Woman's,2017,47,54,49,46,52
Towson,2017,56,50,36,32,45
UC Davis,2017,43,40,37,34,42
UCLA,2017,8,2,3,7,4
UIC,2017,52,46,63,60,56
Ursinus College,2017,75,68,66,73,71
Utah,2017,4,6,6,4,5
Utah State,2017,29,26,26,31,32
UW-Eau Claire,2017,81,75,80,78,78
UW-La Crosse,2017,71,66,72,71,72
UW-Oshkosh,2017,78,80,76,81,79
UW-Stout,2017,73,76,77,76,76
UW-Whitewater,2017,67,63,69,69,66
